Name,Family,Genus,Species,Common_name,Growth_form,Leaf_area_mm2,Leaf_area_source,Perenniality,Perenniality_source,Mean_ht_mm,Ht_source,SLA_mm2mg1,SLA_source,Resprouter,Resprouting Source,Diaspore_mg,Diaspore_source,Dispersal_mode,Dispersal_mode_source,Log10_dispersal_dist_m,Disperal_dist_source,Range_extent_ID,Range_rource,Elevation_range,Elevation_Source,Raunkier,Raunkier_source,Pollination,Pollination_source,Species name,Family,altitude_min,altitude_max,altitude_range,MAT_min,MAT_max,MAT_range,Extent,Area
Acaena novae-zelandiae,Rosaceae,Acaena,novae-zelandiae,Bidgee-widgee,Forb,46.17,C Pickering Main Range,Perennial,KM,47.3,C Pickering Main Range,19.98,C Pickering Main Range,Y,KM,4.7,JM,Animal,JM,1.559373514,JM SV,5,KM,5,KM,H,JM and KM,Wind,JM,Acaena novae-zelandiae,Rosaceae,3,2129,2126,3.3,17.1,13.8,580142,1188
Aciphylla glacialis,Apiaceae,Aciphylla,glacialis,Mountain Celery,Forb,4176.3,C Pickering Main Range,Perennial,KM,190,C Pickering Main Range,7.03,C Pickering Main Range,,,4.59,LG,None,JM,-0.220511223,JM SV,2,KM,3,KM,H,JM and KM,Not Wind,JM,Aciphylla glacialis,Apiaceae,984,2129,1145,3.3,10.3,7,12074,240
Agrostis muelleriana,Poaceae,Agrostis,muelleriana,Mueller's Bent,Graminoid,31.95,C Pickering Main Range,Annual,KM,39.6,C Pickering Main Range,6.7,C Pickering Main Range,,,0.11,JM,Wind,JM,-0.355590367,JM SV,5,KM,4,KM,T,JM and KM,Wind,JM,Agrostis muelleriana,Poaceae,1126,2111,985,3.3,8.9,5.6,16395,208
Agrostis venusta,Poaceae,Agrostis,venusta,,Graminoid,31.95,Estimate,Annual,KM,150,Estimate,6.7,Estimate,N,KM,1.44,Kew,Wind,JM,-0.312104595,JM SV,5,KM,5,KM,T,JM and KM,Wind,JM,Agrostis venusta,Poaceae,21,2081,2060,4,15.7,11.7,377503,488
Asperula gunnii,Rubiaceae,Asperula,gunnii,Mountain Woodruff,Forb,4.1,C Pickering Main Range,Perennial,KM,43.2,C Pickering Main Range,21.79,C Pickering Main Range,Y,KM,2.14,Kew,None,JM,-0.411653277,JM SV,5,KM,4,KM,C,JM and KM,Not Wind,JM,Asperula gunnii,Rubiaceae,76,2081,2005,4,15.2,11.2,164975,528
Astelia alpina,Liliaceae,Astelia,alpina,Silver Astelia,Forb,1516.5,C Pickering Main Range,Perennial,KM,91.1,C Pickering Main Range,9.19,C Pickering Main Range,Y,KM,0.95,JM,Animal,JM,1.245729455,JM SV,5,KM,4,KM,H,JM and KM,Not Wind,JM,Astelia alpina,Asteliaceae,1179,2129,950,3.3,8.9,5.6,19165,184
Baeckea gunniana,Myrtaceae,Baeckea,gunniana,Alpine Baeckea,Shrub,2.89,C Pickering Main Range,Perennial,KM,261,C Pickering Main Range,20.6,C Pickering Main Range,Y,KM,0.75,Kew,Wind,JM,0.679974685,JM SV,3,KM,4,KM,P,JM and KM,Not Wind,JM,Baeckea gunniana,Myrtaceae,506,2129,1623,3.3,12.6,9.3,32017,508
Caltha introloba,Ranunculaceae,Caltha,introloba,Alpine marsh marigold,Forb,188.18,C Pickering Main Range,Perennial,KM,35.1,C Pickering Main Range,376.3,C Pickering Main Range,,,,,None,JM,-0.455139048,JM SV,3,KM,3,KM,H,JM and KM,Wind,JM,Psychrophila introloba,Ranunculaceae,1246,2086,840,3.5,8.1,4.6,11537,192
Carex breviculmis,Cyperaceae,Carex,breviculmis,Short-flower Dryland Sedge,Graminoid,137.3,C Pickering Main Range,Perennial,KM,64.4,C Pickering Main Range,16.8,C Pickering Main Range,Y,KM,1.04,JM,None,JM,-0.411653277,JM SV,5,KM,5,KM,H,JM and KM,Wind,JM,Carex breviculmis,Cyperaceae,0,2008,2008,3.7,19.2,15.5,543435,1032
Carex gaudichaudina,Cyperaceae,Carex,gaudichaudina,Tufted Sedge,Graminoid,314.1,C Pickering Main Range,Perennial,KM,100.9,C Pickering Main Range,78.52,C Pickering Main Range,Y,KM,0.47,JM,None,JM,-0.141494989,JM SV,5,KM,5,KM,H,JM and KM,Wind,JM,Carex gaudichaudiana,Cyperaceae,3,2129,2126,3.3,19.8,16.5,518434,1376
Carex hebes,Cyperaceae,Carex,hebes,Dryland Sedge,Graminoid,168.8,C Pickering Main Range,Perennial,KM,95,C Pickering Main Range,19,C Pickering Main Range,Y,KM,0.78,JM,None,JM,-0.355590367,JM SV,3,KM,2,KM,H,JM and KM,Wind,JM,Carex hebes,Cyperaceae,916,2129,1213,3.3,10.1,6.8,19870,296
Carpha alpina,Cyperaceae,Carpha,alpina,,Graminoid,142,C Pickering Main Range,Perennial,KM,47.5,C Pickering Main Range,8.3,C Pickering Main Range,Y,KM,2.94,JM,Wind,JM,-0.312104595,JM SV,5,KM,2,KM,H,JM and KM,Wind,JM,Carpha alpina,Cyperaceae,1167,2111,944,3.3,8.5,5.2,6198,108
Celmisia costiniana,Asteraceae,Celmisia,costiniana,Herbfield Celmisia,Forb,289,C Pickering Main Range,Perennial,KM,88,C Pickering Main Range,9.6,C Pickering Main Range,Y,KM,2.64,JM,Wind,JM,0.99007815,JM SV,3,KM,3,KM,H,JM and KM,Not Wind,JM,Celmisia costiniana,Asteraceae,1259,2102,843,3.3,8.6,5.3,14582,180
Celmisia pugioniformis,Asteraceae,Celmisia,pugioniformis,Dagger-leaf Celmisia,Forb,303.9,C Pickering Main Range,Perennial,KM,70.1,C Pickering Main Range,17.87,C Pickering Main Range,Y,KM,2.74,JM,Wind,JM,1.046141059,JM SV,3,KM,4,KM,H,JM and KM,Not Wind,JM,Celmisia pugioniformis,Asteraceae,943,2102,1159,3.3,10.9,7.6,59837,388
Craspedia aurantia,Asteraceae,Craspedia,aurantia,Orange Billy-button,Forb,837,C Pickering Main Range,Perennial,KM,43.6,C Pickering Main Range,23.7,C Pickering Main Range,Y,KM,0.45,LG,Wind,JM,0.911061916,JM SV,3,KM,3,KM,H,JM and KM,Not Wind,JM,Craspedia aurantia,Asteraceae,1214,2081,867,3.7,9.4,5.7,21022,292
Dianella tasmanica,Liliaceae,Dianella,tasmanica,Tasman Flax-lilly,Forb,14362.8,C Pickering Main Range,Perennial,KM,55.5,C Pickering Main Range,5.5,C Pickering Main Range,Y,KM,5.62,Kew,Animal,JM,1.964610945,JM SV,5,KM,5,KM,H,JM and KM,Not Wind,JM,Dianella tasmanica,Hemerocallidaceae,11,1813,1802,5,17.1,12.1,364058,552
Drosera arcturi,Droseraceae,Drosera,arcturi,Alpine Sundew,Forb,64,C Pickering Main Range,Perennial,KM,20.9,C Pickering Main Range,16.5,C Pickering Main Range,,,0.04,JM,Water,JM,-0.590218192,JM SV,5,KM,4,KM,H,JM and KM,Not Wind,JM,Drosera arcturi,Droseraceae,1167,2102,935,3.4,8.5,5.1,13302,140
Empodisma minus,Restionaceae,Empodisma,minus,Spreading Rope-rush,Graminoid,8.7,C Pickering Main Range,Perennial,KM,146.9,C Pickering Main Range,3.7,C Pickering Main Range,Y,KM,0.92,JM,None,JM,0.544895541,JM SV,5,KM,5,KM,C,JM and KM,Wind,JM,Empodisma minus,Restionaceae,3,2102,2099,3.5,19.5,16,515903,960
Epacris paludosa,Epacridaceae,Epacris,paludosa,Swamp Heath,Shrub,11.5,C Pickering Main Range,Perennial,KM,200,C Pickering Main Range,9.8,C Pickering Main Range,Y,KM,0.02,JM,None,JM,0.679974685,JM SV,5,KM,5,KM,P,JM and KM,Not Wind,JM,Epacris paludosa,Ericaceae,9,2129,2120,3.3,17.5,14.2,225653,1204
Epacris petrophila,Epacridaceae,Epacris,petrophila,,Shrub,8.5,C Pickering Main Range,Perennial,,337,C Pickering Main Range,18.9,C Pickering Main Range,,,0.12,ANBG,None,JM,,,,,,,,,Not Wind,JM,Epacris petrophila,Ericaceae,814,2129,1315,3.3,9.8,6.5,31569,228
Eucalyptus pauciflora,Myrtaceae,Eucalyptus,pauciflora,,Tree,140,P Vesk Falls Creek,Perennial,KM,7000,Alps wide,340,P Vesk Falls Creek,Y,KM,0.61,LG,None,JM,,,4,KM,3,KM,P,,Not Wind,JM,Eucalyptus pauciflora subsp. niphophila,Myrtaceae,,,,4.8,11.3,6.5,80308,508
Ewartia nubigena,Asteraceae,Ewartia,nubigena,Silver Ewartia,Shrub,14.7,C Pickering Main Range,Perennial,KM,22.1,C Pickering Main Range,19.8,C Pickering Main Range,Y,KM,0.05,JM,Wind,JM,1.398355083,JM SV,2,KM,2,KM,C,,Not Wind,JM,Ewartia nubigena,Asteraceae,1511,2129,618,3.3,7.9,4.6,6982,180
Gentianella muelleriana,Gentianaceae,Gentianella,muelleriana,Mueller's Snow-gentian,Forb,28.2,C Pickering Main Range,Perennial,KM,79.8,C Pickering Main Range,15.3,C Pickering Main Range,Y,KM,0.34,JM,None,JM,-0.312104595,JM SV,3,KM,3,KM,H,,Not Wind,JM,Gentianella muelleriana,Gentianaceae,1043,2086,1043,3.5,9.3,5.8,17199,136
Goodenia hederacea,Goodeniaceae,Goodenia,hederacea,,Forb,314,Estimate,Perennial,KM,15,Estimate,15,Estimate,Y,KM,1.43,LG,None,JM,-0.490669511,JM SV,4,KM,5,KM,H,,Not Wind,JM,Goodenia hederacea subsp. alpestris,Goodeniaceae,,,,5.1,13.2,8.1,57005,452
Grevillea australis,Proteaceae,Grevillea,australis,Alpine Grevillea,Shrub,24.6,C Pickering Main Range,Perennial,KM,499,C Pickering Main Range,5.5,C Pickering Main Range,N,KM,8.19,LG,None,JM,0.544895541,JM SV,5,KM,4,KM,P,,Not Wind,JM,Grevillea australis,Proteaceae,1030,2129,1099,3.3,10,6.7,21940,444
Hovea montana,Fabaceae,Hovea,montana,Alpine Hovea,Shrub,52,C Pickering Main Range,Perennial,KM,292.6,C Pickering Main Range,5.3,C Pickering Main Range,Y,KM,15.96,LG,Ballistic,JM,1.204500156,JM SV,4,KM,3,KM,C,,Not Wind,JM,Hovea montana,Fabaceae,213,2111,1898,3.7,13.8,10.1,35475,604
Kunzea muelleri,Myrtaceae,Kunzea,muelleri,Yellow Kunzea,Shrub,4.487,C Pickering Main Range,Perennial,KM,211.4,C Pickering Main Range,8,C Pickering Main Range,Y,KM,0.14,Kew,None,JM,0.610466582,JM SV,3,KM,3,KM,C,,Not Wind,JM,Kunzea muelleri,Myrtaceae,1015,2081,1066,3.6,10.8,7.2,15709,268
Leptorhynchos squamatus,Asteraceae,Leptorhynchos,squamatus,Scaly Buttons,Forb,80.4,C Pickering Main Range,Perennial,KM,108,C Pickering Main Range,10.8,C Pickering Main Range,Y,KM,0.11,JM,Wind,JM,0.954547687,JM SV,5,KM,5,KM,H,,Not Wind,JM,Leptorhynchos squamatus,Asteraceae,8,2081,2073,3.6,18.3,14.7,531748,2236
